storage technology,tmax (°c),hrmin (%),variety,storage time (days),grain impurities (%),initial total damage (%),final total damage  (%)
polypropylene bag with micronized lime,23.08486504279131,30.877057274522713,Hybrid,182,0.34664200246642,9.682637069626372,9.739026097390251
polypropylene bag,21.21481153255347,39.311632990665245,Hybrid,365,0.34664200246642,9.682637069626372,10.288971102889704
polypropylene bag,21.21481153255347,39.311632990665245,Hybrid,365,0.34664200246642,9.682637069626372,12.266320103968807
polypropylene bag,21.21481153255347,39.311632990665245,Hybrid,365,0.34664200246642,9.682637069626372,9.817054883534936
hermetic metal silo,24.841290322580644,59.357603686635954,Native,185,0.22,11.062333333333326,29.0
hermetic metal silo,24.841290322580644,59.357603686635954,Native,185,0.22,11.062333333333326,20.499999999999993
hermetic metal silo,24.841290322580644,59.357603686635954,Native,185,0.22,11.062333333333326,33.49999999999999
grainpro hermetic supergrainbag farm,24.841290322580644,59.357603686635954,Native,185,0.22,11.062333333333326,27.000000000000007
grainpro hermetic supergrainbag farm,24.841290322580644,59.357603686635954,Native,185,0.22,11.062333333333326,24.999999999999996
grainpro hermetic supergrainbag farm,24.841290322580644,59.357603686635954,Native,185,0.22,11.062333333333326,21.79999999999999
polypropylene bag with aluminum phosphide,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,14.32835820895523
polypropylene bag with aluminum phosphide,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,14.356929212362907
polypropylene bag with micronized lime,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,9.86499517839922
polypropylene bag with micronized lime,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,6.63255813953488
grainpro hermetic supergrainbag farm,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,7.310215557638248
grainpro hermetic supergrainbag farm,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,9.802631578947366
grainpro hermetic supergrainbag farm,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,5.454545454545445
hermetic metal silo,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,4.586241276171492
hermetic metal silo,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,15.029940119760475
hermetic metal silo,31.614354838709676,56.090860215053766,Hybrid,30,0.07998667998667999,4.084948384948399,13.736372646184336
polypropylene bag with aluminum phosphide,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,29.131736526946113
polypropylene bag with aluminum phosphide,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,68.94211576846307
polypropylene bag with aluminum phosphide,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,61.599999999999994
polypropylene bag with micronized lime,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,45.81000000000001
polypropylene bag with micronized lime,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,16.37999999999999
polypropylene bag with micronized lime,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,23.010000000000012
grainpro hermetic supergrainbag farm,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,12.16783216783217
grainpro hermetic supergrainbag farm,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,9.480519480519488
grainpro hermetic supergrainbag farm,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,9.22077922077922
hermetic metal silo,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,16.55
hermetic metal silo,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,7.594810379241507
hermetic metal silo,30.78236559139785,59.41935483870967,Hybrid,121,0.07998667998667999,4.084948384948399,9.080000000000007
polypropylene bag with aluminum phosphide,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,76.35000000000001
polypropylene bag with aluminum phosphide,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,53.17999999999999
polypropylene bag with aluminum phosphide,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,49.86
polypropylene bag with micronized lime,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,32.400000000000006
